dataset,stage,column,dtype,row_count,missing_count,missing_pct,blank_or_null_string_count,non_missing_count,unique_non_missing_count,example_non_missing_values
machine,raw,machine_id,object,358878,0,0.0,0,358878,2782,D71PXI-24 72511 | D71PXI-24 72511 | D71PXI-24 72511
machine,raw,snapshot_date,object,358878,0,0.0,0,358878,129,2021-07-19 | 2021-08-02 | 2021-08-16
machine,raw,full_model,object,358878,0,0.0,0,358878,5,D71PXI-24 | D71PXI-24 | D71PXI-24
machine,cleaned,machine_id,string,358878,0,0.0,0,358878,2782,D71PXI-24 72511 | D71PXI-24 72511 | D71PXI-24 72511
machine,cleaned,snapshot_date,string,358878,0,0.0,0,358878,129,2021-07-19 | 2021-08-02 | 2021-08-16
machine,cleaned,full_model,string,358878,0,0.0,0,358878,5,D71PXI-24 | D71PXI-24 | D71PXI-24
fault_codes,raw,bn_failure_code_id,object,682641,0,0.0,0,682641,682641,9b9530acec4737de8dc5ee09f5ee596e | e5d46f0fab0213b81adad1b0880460d8 | a5f64b02c0c850ddf0cefa8223fce558
fault_codes,raw,serial_number,int64,682641,0,0.0,0,682641,2717,70002 | 70002 | 70002
fault_codes,raw,full_model,object,682641,0,0.0,0,682641,5,D71PXI-24 | D71PXI-24 | D71PXI-24
fault_codes,raw,machine_id,object,682641,0,0.0,0,682641,2717,D71PXI-24 70002 | D71PXI-24 70002 | D71PXI-24 70002
fault_codes,raw,base_model_code_id,object,682641,0,0.0,0,682641,424,D71-DW7BKB | D71-CA1673 | D71-A1U0N3
fault_codes,raw,abnormality_history_id,int64,682641,0,0.0,0,682641,682641,10178216344 | 10209532818 | 10210112120
fault_codes,raw,event_time,object,682641,0,0.0,0,682641,627521,2023-05-25T19:28:06Z | 2023-10-06T12:33:25Z | 2023-10-09T16:03:44Z
fault_codes,raw,event_date,object,682641,0,0.0,0,682641,1776,2023-05-25 | 2023-10-06 | 2023-10-09
fault_codes,raw,fault_code,object,682641,0,0.0,0,682641,424,DW7BKB | CA1673 | A1U0N3
fault_codes,raw,event_error_name_en,object,682641,0,0.0,0,682641,424,REVERSE FAN PUMP SOLENOID VALVE+SHORT CIRCUIT | AdBlue/DEF Level Low Error 3 | DPF+CLOGGING 1
fault_codes,raw,event_action_level,object,682641,1,0.0001,0,682640,5,L01 | L03 | L01
fault_codes,raw,logical_name,object,682641,1,0.0001,0,682640,5,HST | ENG/M | ENG/M
fault_codes,raw,occurrence_count,float64,682641,0,0.0,0,682641,3861,1.0 | 2.0 | 27.0
fault_codes,raw,log_occurrence_count,float64,682641,0,0.0,0,682641,2675,0.693 | 1.099 | 3.332
fault_codes,raw,occurrence_boost,float64,682641,0,0.0,0,682641,4,0.0 | 0.0 | 0.0
fault_codes,raw,occurrence_class,int64,682641,0,0.0,0,682641,5,1 | 1 | 2
fault_codes,raw,engine_on_seconds,float64,682641,0,0.0,0,682641,21928,0.0 | 0.0 | 12900.0
fault_codes,raw,engine_on_hours,float64,682641,0,0.0,0,682641,21928,0.0 | 0.0 | 3.583333333333333
fault_codes,raw,engine_on_duration_class,object,682641,0,0.0,0,682641,6,NO_ENGINE_ON_DURATION | NO_ENGINE_ON_DURATION | LONG_ENGINE_ON_DURATION
fault_codes,raw,engine_on_duration_boost,float64,682641,0,0.0,0,682641,6,0.0 | 0.0 | 0.06
fault_codes,raw,smr_hours,float64,682641,0,0.0,0,682641,430980,575.8166666666667 | 963.3833333333332 | 976.8666666666668
fault_codes,raw,failure_name_displayed,object,682641,0,0.0,0,682641,422,Fan Reverse Solenoid Short Circuit | DEF Level Low Error 3 | Hydrocarbon Desorb Request 1
fault_codes,raw,applicable_component,object,682641,0,0.0,0,682641,4,HST | ENG | ENG
fault_codes,raw,history_category,object,682641,0,0.0,0,682641,2,Electrical system | Electrical system | Electrical system
fault_codes,raw,related_component,object,682641,0,0.0,0,682641,6,Power Train System | Urea SCR System | Urea SCR System
fault_codes,raw,related_component_1,object,682641,376905,55.2128,0,305736,3,Power Train System | Engine | Engine
